Video ID,Title,Description,Category,Duration (seconds),Publish Date,Publish Time (24h),Views,Likes,Comments,Default Audio Language,Channel Title,Channel Subscribers,Total Videos Posted,Channel Views,Channel Creation Date,Channel Country,Title Length,Hashtag Count,Description Present,Duration Category,Day of Week,Month,Quarter,Year,Video Age (days),Engagement Rate,Channel Title Length,Channel Size,Average Video Views,Channel Age (days),Category Definition,Audio Language Name,Channel Country Name,Publish Hour,Time of Day,Sentiment Polarity,Sentiment Category
j4M47qLTeJ4,My DREAM Everyday Tech!,I've finally completed my Perfect Tech Every Day Carry (EDC) Backpack - Hope you can use it for inspiration! Affiliate links below ...,28,1087,2024-06-12,11:41:07,5628084,183594,6721,en-GB,Mrwhosetheboss,20400000,1765,6510896239,2011-04-20,GB,23,0,Yes,Medium,Wednesday,June,2,2024,221,3.3815238009951503,14,10M+,3688893.05325779,5023,Science & Technology,English (British),United Kingdom,11,Morning,-0.25,Negative
4qNVBYTGl9I,Ayo Technology,Provided to YouTube by Universal Music Group Ayo Technology · 50 Cent · Justin Timberlake Best Of 50 Cent ℗ 2007 Shady ...,10,248,2019-01-09,06:45:39,454529,5656,42,Unknown,50 Cent - Topic,94900,1024,2502458155,2013-05-21,Unknown,14,0,Yes,Short,Wednesday,January,1,2019,2202,1.25360538051477,15,<100k,2443806.79199218,4261,Music,Unknown,Unknown,6,Morning,0.0,Neutral
OqcEQqPXgrw,38 Emerging Technologies That Will Change The Future | Compilation,technology #inventions #vehicles Volkswagen Hover Car https://www.youtube.com/watch?v=eLw6NzZUn30 PopUp Next ...,28,2453,2024-10-21,12:00:33,142681,460,22,en,FuturisticTech,69000,512,21796471,2023-07-01,US,66,0,Yes,Long,Monday,October,4,2024,90,0.337816527778751,14,<100k,42571.232421875,568,Science & Technology,English,United States,12,Afternoon,0.0,Neutral
FmKe7MyPNx8,First Computer to QUANTUM COMPUTERS - Full Technology Evolution Explained,Checkout LPU to learn new age skills - https://shorturl.at/VdcQ8 Research references ...,28,1847,2025-01-14,15:04:54,370758,19305,1128,hi,GetsetflySCIENCE by Gaurav Thakur,8740000,745,1405639646,2017-02-18,IN,73,0,Yes,Long,Tuesday,January,1,2025,5,5.51114203874225,33,<10M,1886764.62550335,2892,Science & Technology,Hindi,India,15,Afternoon,0.3,Positive
Pj9QnO9rZkE,12 Predictions for the Future of Technology | Vinod Khosla | TED,"Techno-optimist Vinod Khosla believes in the world-changing power of ""foolish ideas."" He offers 12 bold predictions for the future ...",28,572,2024-06-08,11:00:20,211851,4364,236,en,TED,25600000,4938,2827312576,2006-12-06,US,64,0,Yes,Medium,Saturday,June,2,2024,225,2.17133740223081,3,10M+,572562.287565816,6619,Science & Technology,English,United States,11,Morning,0.0,Neutral
6Pwbn07wKVA,20 Military Technologies That Will Change The World,Which military technology will have the biggest impact? ⬇️ Services I Use & Recommend: Descript: https://geni.us/OECB ...,28,2373,2025-01-11,14:00:07,20782,377,24,en-US,Future Business Tech,123000,95,15734654,2010-06-11,US,51,0,Yes,Long,Saturday,January,1,2025,8,1.9295544220960401,20,<1M,165627.936842105,5336,Science & Technology,English (American),United States,14,Afternoon,-0.1,Negative
pW6cVtjIwpY,🔥Top Best Useful Gadgets In The World | Amazon Gadgets #gadgets,Top Best Useful Gadgets In The World | Amazon Gadgets #gadgets Educational painting robot buy link : https://amzn.to/4dNrsuA ...,28,24,2024-09-01,10:07:32,11514321,700747,503,en,TECH WITH AR,2130000,208,148098742,2024-02-28,IN,63,1,Yes,Very Short,Sunday,September,3,2024,140,6.09024188226122,12,<10M,712013.182692307,326,Science & Technology,English,India,10,Morning,0.65,Positive
y2kg3MOk1sY,Computer &amp; Technology Basics Course for Absolute Beginners,Learn basic computer and technology skills. This course is for people new to working with computers or people that want to fill in ...,27,3304,2023-02-02,15:11:26,4021243,71079,836,en,freeCodeCamp.org,10300000,1791,821761308,2014-12-16,US,62,0,Yes,Long,Thursday,February,1,2023,717,1.78837737485648,16,10M+,458828.201005025,3687,Education,English,United States,15,Afternoon,0.2,Positive
flY9daaR9Do,CES 2025: 15 Best Tech You’ll Actually Want!,Here are the Best Gadgets at CES 2025 that will make you jealous that you don't own them! ▣ MegPad ...,26,813,2025-01-11,14:00:43,216703,4389,103,Unknown,HowToMen,788000,725,114742602,2009-08-25,US,44,0,Yes,Medium,Saturday,January,1,2025,8,2.07288316266964,8,<1M,158265.657931034,5626,How-to & Style,Unknown,United States,14,Afternoon,0.5,Positive
4wZwXhoxRIA,15 Tech Gadgets I Use Every Day #shorts #justicebuys #tech,,22,60,2025-01-04,19:26:39,6905387,322968,1233,Unknown,Justice Buys,1570000,70,1064152441,2023-02-12,Unknown,58,3,No,Very Short,Saturday,January,1,2025,15,4.69489979345111,12,<10M,15202177.7285714,707,People & Blogs,Unknown,Unknown,19,Evening,0.0,Neutral
DD4F5it7a5M,Bill Gates: AI Is &quot;The First Technology That Has No Limit&quot;,"Billionaire philanthropist Bill Gates says he is somewhat worried about the dangers posed by artificial intelligence, but he is ...",24,369,2024-09-26,07:35:00,960150,13998,2734,en,The Late Show with Stephen Colbert,9620000,11641,10177668816,2015-05-27,Unknown,68,0,Yes,Medium,Thursday,September,3,2024,115,1.74264437848252,34,<10M,874295.061936259,3525,Entertainment,English,Unknown,7,Morning,0.25,Positive
a_5btLCRR24,50 Cent - Ayo Technology (feat. Justin Timberlake &amp; Timbaland),"50 Cent Gear, Merch & More: https://amzn.to/2r3h8Zv Curtis is the third studio album by American rapper 50 Cent; it was released ...",10,249,2016-06-25,15:34:29,1898847,21050,488,Unknown,The Real G Music TV,286000,872,427957387,2015-06-04,Unknown,66,0,Yes,Short,Saturday,June,2,2016,3130,1.13426726850557,19,<1M,490776.819954128,3517,Music,Unknown,Unknown,15,Afternoon,0.0,Neutral
nXpKZ_sHo6w,"Future of Technology (2030 - 10,000 A.D.+)",Are you ready for rapid technological progress? ⬇️ Services I Use & Recommend: Descript: https://geni.us/OECB (AI-powered ...,28,1696,2024-08-11,17:04:31,327126,5007,577,en-US,Future Business Tech,123000,95,15734654,2010-06-11,US,42,0,Yes,Medium,Sunday,August,3,2024,161,1.7069875216277501,20,<1M,165627.936842105,5336,Science & Technology,English (American),United States,17,Afternoon,0.0,Neutral
iatS86r1Hnk,Brute Forcing An iPhone 5… #technology,,28,45,2023-02-11,00:28:32,48676789,1787562,7763,Unknown,MDrepairs,759000,74,302941986,2021-11-19,US,38,1,No,Very Short,Saturday,February,1,2023,708,3.68825684044196,9,<1M,4093810.62162162,1157,Science & Technology,Unknown,United States,0,Night,0.0,Neutral
ZYIi81NCeU4,Is this the future of technology?! Humane AI looks INSANE! 🤯,"What comes AFTER the smartphone? With the recent announcements from @hu.ma.ne and Apple's “Vision Pro” headset, ...",28,57,2023-06-20,03:53:41,445930,16798,254,Unknown,Will Bowers,249000,393,134426953,2015-06-03,Unknown,60,0,Yes,Very Short,Tuesday,June,2,2023,579,3.82391855223914,11,<1M,342053.315521628,3518,Science & Technology,Unknown,Unknown,3,Night,-0.5,Negative
K0txbbF_sRE,Huawei’s New Tech is Insane 🤯🇨🇳#huawei #subscribe,The ability to airdrop photos on Huawei using your hand ✋  . A new technology.,22,23,2024-11-28,16:46:25,122558,3171,64,en-US,Mike China Vlog,3520,537,897876,2016-12-04,US,49,2,Yes,Very Short,Thursday,November,4,2024,52,2.6395665725615602,15,<100k,1672.02234636871,2968,People & Blogs,English (American),United States,16,Afternoon,-0.431818181818181,Negative
b0HfmY64eSE,I bought the most FUTURISTIC Tech in the World,Which piece of futuristic tech was your favourite? Limited to the first 100 purchases until December 30th! Get the best Insta360 X3 ...,28,2324,2023-11-25,14:18:33,20045664,446145,10671,en-GB,Mrwhosetheboss,20400000,1765,6510896239,2011-04-20,GB,46,0,Yes,Long,Saturday,November,4,2023,421,2.2788768683342098,14,10M+,3688893.05325779,5023,Science & Technology,English (British),United Kingdom,14,Afternoon,0.5,Positive
T-HWQ4jQ2p4,Chinese company utilizing AI to create robots #technologynews #international #tech,"Currently, the company creates humanoid robots for museum displays, but they wish to expand their operation. By combining their ...",28,23,2024-06-18,16:17:35,126655,3069,242,en,WQAD News 8,96300,29707,65287969,2010-04-05,US,82,3,Yes,Very Short,Tuesday,June,2,2024,215,2.61418814890845,11,<100k,2197.73013094556,5403,Science & Technology,English,United States,16,Afternoon,0.0,Neutral
94LDWSXT7HY,5 Most Extreme Tech Pranks! 👺,"shorts #tech #pranks I spend a LOT of time trying to make my videos as concise, polished and useful as possible for you - if you ...",28,59,2023-04-26,16:44:18,31725673,1768591,3007,en-GB,Mrwhosetheboss,20400000,1765,6510896239,2011-04-20,GB,29,0,Yes,Very Short,Wednesday,April,2,2023,634,5.58411479561048,14,10M+,3688893.05325779,5023,Science & Technology,English (British),United Kingdom,16,Afternoon,0.171875,Positive
5fKkXFresYI,5 Times Tech has SAVED LIVES!,"shorts #technology I spend a LOT of time trying to make my videos as concise, polished and useful as possible for you - if you ...",28,60,2022-10-15,08:25:08,40836152,2652451,8461,en-GB,Mrwhosetheboss,20400000,1765,6510896239,2011-04-20,GB,29,0,Yes,Very Short,Saturday,October,4,2022,827,6.516069388712229,14,10M+,3688893.05325779,5023,Science & Technology,English (British),United Kingdom,8,Morning,0.0,Neutral
vybLi25Q8Fw,Linus Sebastian Shows Jimmy and Bad Bunny Some Mind-Blowing Technology (Extended) | The Tonight Show,"Linus Sebastian talks about creating tech videos for almost 20 years and attending the biggest electronic show in the world, CES, ...",23,526,2025-01-14,05:25:00,1503055,102072,7119,en,The Tonight Show Starring Jimmy Fallon,32200000,11564,18212799150,2006-01-08,US,100,0,Yes,Medium,Tuesday,January,1,2025,5,7.264604422326521,38,10M+,1574956.68886198,6951,Comedy,English,United States,5,Night,-0.699999999999999,Negative
F8rJmVHstkU,50 Cent - Ayo Technology (Lyrics) ft. Justin Timberlake,50 Cent - Ayo Technology (Lyrics) ft. Justin Timberlake Stream/Download: https://lnk.to/AyoTechnology Follow our Spotify Playlist: ...,24,280,2022-11-27,07:51:35,323334,3316,140,Unknown,Loku,3010000,2398,2581938743,2016-06-12,US,55,0,Yes,Short,Sunday,November,4,2022,784,1.0688637755386,4,<10M,1076705.06380316,3143,Entertainment,Unknown,United States,7,Morning,0.0,Neutral
-E8Do-M5N4M,colourful genarator#light#shorts#electronic#technology#viralshorts,,28,20,2022-09-20,10:02:07,2433076,52974,89,Unknown,Electronic project works,26400,41,8044783,2020-03-05,Unknown,66,5,No,Very Short,Tuesday,September,3,2022,852,2.18090187071838,24,<100k,196214.219512195,1781,Science & Technology,Unknown,Unknown,10,Morning,0.0,Neutral
XOwxbB9X6aQ,They fixed the reason my phone broke! #CES2024,,28,58,2024-01-10,19:38:36,12874467,607677,3649,en-US,Linus Tech Tips,16100000,7149,8400158100,2008-11-25,CA,46,1,No,Very Short,Wednesday,January,1,2024,375,4.74835967966673,15,10M+,1175011.62400335,5899,Science & Technology,English (American),Canada,19,Evening,0.125,Positive
h8stp6n1nj8,FINALLY! What people have been asking for... #shorts #oneplus #tech #phones,,28,37,2025-01-11,03:10:00,23183,1321,47,en,Android Police,405000,1438,102254947,2010-04-21,US,75,4,No,Very Short,Saturday,January,1,2025,8,5.90087564163395,14,<1M,71109.1425591098,5387,Science & Technology,English,United States,3,Night,0.0,Neutral
cWKTL81IxFs,Worlds smallest 4K headset 😎 Visor.com #tech #vr #technology #virtualreality #coraline,"Visor is the world's smallest 4K headset. Spawn five 4K virtual screens. With more pixels than the Apple Vision Pro, Visor's small ...",28,15,2024-08-26,17:15:24,24797673,430332,482,Unknown,Immersed,1360000,297,921703976,2016-08-10,US,86,5,Yes,Very Short,Monday,August,3,2024,146,1.7373162393100299,8,<10M,3103380.39057239,3084,Science & Technology,Unknown,United States,17,Afternoon,0.0,Neutral
B-8fnn-aRuQ,"With technology anything is possible, canalization cleanup techniques and technology #innovation","Canalization, the process of introducing weirs and locks to a river so as to secure a defined depth suitable for navigation.",27,20,2023-02-28,13:55:59,25055502,213440,566,en-US,KSSE Structural Engineers,1470000,1229,1213940053,2022-02-19,US,96,1,Yes,Very Short,Tuesday,February,1,2023,691,0.8541277680247631,25,<10M,987746.178193653,1065,Education,English (American),United States,13,Afternoon,0.0,Neutral
yi3HfhbmZH8,Flywheel Free Energy?! #technology #fake #funny,THERE IS NO FREE ENERGY! THERE IS NO FREE ENERGY!! THERE IS NO FREE ENERGY!!! THERE IS NO FREE ENERGY!,28,39,2024-07-28,16:39:34,25141389,1081632,7553,en,ElectroBOOM,8070000,324,1210195109,2007-06-23,CA,47,3,Yes,Very Short,Sunday,July,3,2024,175,4.33223876373735,11,<10M,3735170.08950617,6420,Science & Technology,English,Canada,16,Afternoon,0.0833333333333333,Positive
eizNPoROIfA,The Biggest Tech FAILS of 2024,What an exciting year we had for tech… fails! Welcome to the Top Tech Fails award show for 2024!! And the “winners” are…,23,407,2024-12-30,18:00:22,304225,16515,872,en,SAMTIME,426000,1668,108937505,2012-06-03,AU,30,0,Yes,Medium,Monday,December,4,2024,20,5.71517791108554,7,<1M,65310.254796163,4613,Comedy,English,Australia,18,Evening,-0.5,Negative
4RcThoRG46c,I tested every Celebrity Tech product!,"Celebrity tech from Ronaldo, Mbappe, Will Smith, Kim Kardashian and much more, finally put to the test Only the first 30 ...",28,1635,2024-10-05,10:52:18,6781020,198118,6106,en-GB,Mrwhosetheboss,20400000,1765,6510896239,2011-04-20,GB,38,0,Yes,Medium,Saturday,October,4,2024,106,3.01170030467392,14,10M+,3688893.05325779,5023,Science & Technology,English (British),United Kingdom,10,Morning,0.0,Neutral
KArch4rjU_0,USB in USB #charger #technology #electronic #funny,Maybe stop plugging things into each other to see when they fail!!!,28,17,2024-05-12,17:37:14,43132981,2054743,5538,en,ElectroBOOM,8070000,324,1210195109,2007-06-23,CA,50,4,Yes,Very Short,Sunday,May,2,2024,252,4.77657920281466,11,<10M,3735170.08950617,6420,Science & Technology,English,Canada,17,Afternoon,0.25,Positive
FcbP--wmgO4,15 Technologies That Will Change The World,Gyroscopic Transport https://www.youtube.com/watch?v=elklimHYcgc Renault Float ...,28,988,2024-06-17,12:00:21,928616,4386,112,en,FuturisticTech,69000,512,21796471,2023-07-01,US,42,0,Yes,Medium,Monday,June,2,2024,216,0.48437674991600405,14,<100k,42571.232421875,568,Science & Technology,English,United States,12,Afternoon,0.0,Neutral
1iuaVRIhe5c,The HOLOGRAM generator is mind blowing!,"shorts #tech #gadgets #hologram I spend a LOT of time trying to make my videos as concise, polished and useful as possible for ...",28,27,2024-01-05,13:04:08,2973268,209423,872,en-GB,Mrwhosetheboss,20400000,1765,6510896239,2011-04-20,GB,39,0,Yes,Very Short,Friday,January,1,2024,380,7.07285720627942,14,10M+,3688893.05325779,5023,Science & Technology,English (British),United Kingdom,13,Afternoon,0.0,Neutral
0fTtwTZFIN0,"Two flagship phones, which one would you choose? Samsung Mobile Digital Technology S23 Ultra",,28,13,2024-10-15,14:56:05,1079689,20189,135,Unknown,Trendy Tech Review Show,4170000,4346,3234392569,2020-06-27,IN,92,0,No,Very Short,Tuesday,October,4,2024,96,1.88239391158009,23,<10M,744222.864473078,1667,Science & Technology,Unknown,India,14,Afternoon,0.0,Neutral
kGoBE8vKBW8,😜 நச்சுனு 4 Mokka Products From 🍎 Apple #shorts #apple #magicmouse #macmini #applepencil,,28,58,2025-01-10,10:00:57,1109683,136988,286,en,Tech SuperStar,1320000,50,44090415,2024-10-25,IN,88,5,No,Very Short,Friday,January,1,2025,9,12.3705598806145,14,<10M,881808.3,86,Science & Technology,English,India,10,Morning,0.0,Neutral
DCnm2THZ9lU,I used 1950s technology for a week,FILM LABS: The Negative Space: https://thenegative.space/ The Black and White Box: https://theblackandwhitebox.co.nz/ LTI ...,24,2070,2025-01-11,03:42:11,217933,22862,2225,en,Liam Thompson,2100000,208,338570190,2016-04-11,NZ,34,0,Yes,Long,Saturday,January,1,2025,8,11.5113360528235,13,<10M,1627741.29807692,3205,Entertainment,English,New Zealand,3,Night,0.0,Neutral
CXJ5ZU7VVSc,Ancient Lighting Technology? #shorts #egypt #technology,The so-called “Dendera Lightbulbs”… is this depicting an ancient form of lighting technology as some theorize?,19,16,2024-08-30,03:54:29,693175,15968,940,en,Stargate Voyager,491000,1121,162997964,2016-12-10,US,55,3,Yes,Very Short,Friday,August,3,2024,142,2.4392108774840398,16,<1M,145404.071364852,2962,Travel & Events,English,United States,3,Night,0.0,Neutral
Cp9KMTASgMY,Technology In 2025!,Technology In 2025! Keep Your Digital Life Private and Be Safe Online: https://nordvpn.com/safetyfirst Welcome to a fascinating ...,28,673,2023-11-24,14:15:02,53223,913,83,en,AI Uncovered,173000,516,16417719,2023-04-09,SE,19,0,Yes,Medium,Friday,November,4,2023,422,1.87137139958288,12,<1M,31817.2848837209,651,Science & Technology,English,Sweden,14,Afternoon,0.0,Neutral
BiZcyJPoDy0,I bought the most UNBREAKABLE Tech Ever!,"Buying and attempting to break the most Durable Tech products ever made. If you wanna join the AI-at-your-fingertips-club, ...",28,2054,2024-03-21,12:23:27,8333987,208485,8654,en-GB,Mrwhosetheboss,20400000,1765,6510896239,2011-04-20,GB,40,0,Yes,Long,Thursday,March,1,2024,304,2.60546362743306,14,10M+,3688893.05325779,5023,Science & Technology,English (British),United Kingdom,12,Afternoon,0.625,Positive
X7SJxF_JsNA,Excellent Technology! Top 10 Amazing Mass Production Factories With the Most Views,[ Video Chapter ] 0:00 Process of Making Large Gear Ball Bearings Using Modern Hot Forging. Amazing Metal Bearing Factory ...,26,2080,2024-11-11,12:15:01,754762,2908,53,en,All process of world,3010000,646,1398347534,2020-03-20,KR,82,0,Yes,Long,Monday,November,4,2024,69,0.392309098762258,20,<10M,2164624.66563467,1766,How-to & Style,English,South Korea,12,Afternoon,0.65,Positive
M8F3yLyt62c,Tech Burner Evolution 2015 - 2030 | @TechBurner #shorts #techburner   #thenvsnow,,20,24,2022-08-28,00:07:28,9333716,560479,641,en,Evolved Era,81900,177,22587126,2020-10-30,IN,80,3,No,Very Short,Sunday,August,3,2022,875,6.01175351810575,11,<100k,127610.881355932,1542,Gaming,English,India,0,Night,0.0,Neutral
uvG-WToQfU4,Old Or New Technology?,Get Merch: https://bucha.shop Become a Member: https://www.youtube.com/channel/UCWBWgCD4oAqT3hUeq40SCUw/join ...,24,60,2024-07-17,19:15:02,2851466,200300,1976,Unknown,Sambucha,8900000,2852,13667673087,2020-01-01,Unknown,22,0,Yes,Very Short,Wednesday,July,3,2024,186,7.093754580976939,8,<10M,4792311.74158485,1845,Entertainment,Unknown,Unknown,19,Evening,0.118181818181818,Positive
g2_3jU7ysdc,Unique Technology of Japan 😱 #shorts #science,Unique Technology of Japan #shorts #science #technology #facts #hindi amazing facts by yefacts viral shorts science facts in ...,27,19,2024-05-13,16:05:54,4283394,57689,41,hi,YeFacts,739000,198,478900456,2021-06-19,IN,45,2,Yes,Very Short,Monday,May,2,2024,251,1.34776301222815,7,<1M,2418689.17171717,1310,Education,Hindi,India,16,Afternoon,0.375,Positive
BXzNk-ama10,ChatGPT AI assistant that is the size of a card?? #amazon #amzonfinds #gadgets #chatgpt,,22,21,2024-03-21,15:30:02,3930470,164305,1001,Unknown,GiftGenius (Official Page),748000,219,611187456,2009-06-02,Unknown,87,4,No,Very Short,Thursday,March,1,2024,304,4.20575656346442,26,<1M,2790810.30136986,5710,People & Blogs,Unknown,Unknown,15,Afternoon,0.0,Neutral
xiv6IE915nc,30 year old IBM ThinkPad puts modern #tech to shame #pc #technology #shorts,This 30 year old IBM ThinkPad shows how important build quality is when it comes to making a laptop last. Back in 1994 this thick ...,28,61,2023-11-08,22:46:26,7676769,442334,2217,Unknown,Salem Techsperts,1710000,389,734959456,2014-10-15,US,75,4,Yes,Short,Wednesday,November,4,2023,438,5.79086071236479,16,<10M,1889355.92802056,3749,Science & Technology,Unknown,United States,22,Night,0.15,Positive
22dquW4EYsQ,Tech Products That Should Not Exist,Thank you to Pokémon UNITE for sponsoring this video! Download it here to take part in the 3 Year anniversary celebration ...,23,3372,2024-07-31,17:00:03,11239615,392234,17146,en,Danny Gonzalez,6870000,292,1737597416,2014-09-08,US,35,0,Yes,Long,Wednesday,July,3,2024,172,3.64229557685027,14,<10M,5950676.08219178,3786,Comedy,English,United States,17,Afternoon,0.0,Neutral
8Vk_2Kq9Njw,13 Most EMBARRASSING Tech Fails of all time.,"Embarrassing tech fails, from Mcdonalds, to Tesla, to the global IT crisis...it gets bad. Check out Bitdefender here!",28,1698,2024-10-19,12:06:19,4269872,137009,5065,en-GB,Mrwhosetheboss,20400000,1765,6510896239,2011-04-20,GB,44,0,Yes,Medium,Saturday,October,4,2024,92,3.32735969602835,14,10M+,3688893.05325779,5023,Science & Technology,English (British),United Kingdom,12,Afternoon,0.0,Neutral
O1S8PUHrSeE,Worlds lightest 4K headset 😎 Visor.com #tech #vr #technology #virtualreality #visor #sonic,"Visor is the world's smallest 4K headset. Spawn five 4K virtual screens. With more pixels than the Apple Vision Pro, Visor's small ...",28,16,2024-10-17,06:00:18,1565164,19661,33,Unknown,Immersed,1360000,297,921703976,2016-08-10,US,90,6,Yes,Very Short,Thursday,October,4,2024,94,1.25827069878939,8,<10M,3103380.39057239,3084,Science & Technology,Unknown,United States,6,Morning,0.0,Neutral
-8aF_M0mAAI,Ancient Egyptian Technology Left By An Advanced Civilization That Disappeared,Ancient Egyptian Technology Left By An Advanced Civilization That Disappeared. The most compelling cases of advanced ...,24,1821,2024-07-10,16:24:54,515888,4377,464,en,The Ultimate Discovery,914000,2512,352922593,2014-10-19,US,77,0,Yes,Long,Wednesday,July,3,2024,193,0.938381974382036,22,<1M,140494.662818471,3745,Entertainment,English,United States,16,Afternoon,0.2,Positive
4KBgBWM76bI,I Upgraded my Ultimate Computer Mouse,,24,20,2023-12-26,22:54:50,45531540,1387028,9131,en,Electo,1200000,77,469369074,2015-01-13,US,37,0,No,Very Short,Tuesday,December,4,2023,390,3.06635576130304,6,<10M,6095702.25974025,3659,Entertainment,English,United States,22,Night,0.0,Neutral
kTctVqjhDEw,I tricked my car charging station into powering a 7.5 kW heater,And it wasn't hard at all! links 'n' stuff: Technology Connextras (the second channel where I put stuff sometimes) ...,28,1991,2024-12-25,15:19:14,1026170,40638,4458,en,Technology Connections,2630000,210,343509648,2014-11-09,US,63,0,Yes,Long,Wednesday,December,4,2024,25,4.39459348840835,22,<10M,1635760.22857142,3724,Science & Technology,English,United States,15,Afternoon,0.0,Neutral
UpzCuKkveTI,15 AMAZING INVENTIONS THAT WILL CHANGE YOUR LIFE,inventions #vehicles #technology TCL RayNeo X2 https://www.youtube.com/watch?v=l36_XO1D7XI Litheli eWagon W1 Pro ...,28,964,2024-02-28,16:14:27,1936627,13196,322,en,FuturisticTech,69000,512,21796471,2023-07-01,US,48,0,Yes,Medium,Wednesday,February,1,2024,326,0.698017739089664,14,<100k,42571.232421875,568,Science & Technology,English,United States,16,Afternoon,0.6,Positive
